ch.1_0,1.0,1.0
ch.1_1,7.0,0.37582508748869836
ch.1_10,5.0,1.0
ch.1_100,10.0,0.6631172453203822
ch.1_101,3.0,0.7
ch.1_102,5.0,1.0
ch.1_10,1.0,1.0
ch.1_104,5.0,0.4857142857142857
ch.1_105,17.0,0.39761475195653073
ch.1_106,3.0,0.7
ch.1_107,2.0,1.0
ch.1_108,5.0,1.0
ch.1_109,2.0,1.0
ch.1_11,17.0,0.3705670479246522
ch.1_110,2.0,1.0
ch.1_111,1.0,1.0
ch.1_112,1.0,1.0
ch.1_11,13.0,0.183150203156622
ch.1_114,9.0,0.5476190476190477
ch.1_115,2.0,1.0
ch.1_116,2.0,1.0
ch.1_117,3.0,0.6666666666666666
ch.1_118,31.0,0.04457559645720928
ch.1_119,7.0,0.37582508748869836
ch.1_12,1.0,1.0
ch.1_120,17.0,0.39761475195653073
ch.1_121,13.0,1.0
ch.1_122,5.0,1.0
ch.1_12,3.0,0.7
ch.1_124,17.5,0.33211197790172275
ch.1_125,3.0,0.6666666666666666
ch.1_126,1.0,1.0
ch.1_127,3.0,0.6666666666666666
ch.1_128,5.5,0.8247780950825133
ch.1_129,4.0,1.0
ch.1_1,7.0,0.36868826936178156
ch.1_130,1.0,1.0
ch.1_131,1.0,1.0
ch.1_132,2.0,1.0
ch.1_1,13.0,1.0
ch.1_134,3.0,0.6666666666666666
ch.1_135,1.0,1.0
ch.1_136,3.0,0.7
ch.1_137,12.0,1.0
ch.1_138,5.0,0.46782507728497025
ch.1_139,3.0,0.6666666666666666
ch.1_14,27.0,0.7974247416578414
ch.1_140,31.0,0.43821080248252353
ch.1_141,7.0,0.8857142857142857
ch.1_142,3.0,0.7
ch.1_14,2.0,1.0
ch.1_144,1.0,1.0
ch.1_145,1.0,1.0
ch.1_146,13.0,0.47039300443864773
ch.1_147,11.0,0.8412698412698413
ch.1_148,2.0,1.0
ch.1_149,11.0,0.4857142857142857
ch.1_15,1.0,1.0
ch.1_150,46.0,0.7901777239971897
ch.1_151,11.0,0.4857142857142857
ch.1_152,2.0,1.0
ch.1_15,7.0,0.8845494388529623
ch.1_154,1.0,1.0
ch.1_155,2.0,1.0
ch.1_156,37.0,0.1164240425456285
ch.1_157,1.0,1.0
ch.1_158,5.0,1.0
ch.1_159,2056.0,3.4218618323448e-10
ch.1_16,1.0,1.0
ch.1_160,8.0,1.0
ch.1_161,427.0,8.06829233575243e-06
